latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.44173,117.96307,338.28,0.46,0.39,2025-08-05,525,N20,VIIRS,n,2,306.29,2.92,D,0.0
-8.37929,118.26832,355.7,0.45,0.39,2025-08-05,525,N20,VIIRS,n,2,306.94,10.9,D,0.0
-8.36058,118.37271,342.85,0.44,0.38,2025-08-05,525,N20,VIIRS,n,2,302.48,8.07,D,0.0
-8.37575,118.26772,341.34,0.45,0.39,2025-08-05,525,N20,VIIRS,n,2,304.77,10.9,D,0.0
-8.32788,118.44956,333.34,0.44,0.38,2025-08-05,525,N20,VIIRS,n,2,299.2,3.99,D,0.0
-8.45168,117.5817,335.56,0.48,0.4,2025-08-05,525,N20,VIIRS,n,2,304.12,3.95,D,0.0
-8.46117,117.41878,337.57,0.49,0.4,2025-08-05,525,N20,VIIRS,n,2,305.99,3.87,D,0.0
-5.55268,119.49253,332.58,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,302.11,2.36,D,0.0
-5.56201,119.54424,334.2,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,301.71,2.34,D,0.0
-5.23787,122.57191,341.12,0.42,0.38,2025-08-05,525,N20,VIIRS,n,2,299.71,3.47,D,0.0
-5.456,122.6796,332.75,0.42,0.38,2025-08-05,525,N20,VIIRS,n,2,298.28,2.51,D,0.0
-5.84133,120.45946,333.34,0.38,0.36,2025-08-05,525,N20,VIIRS,n,2,298.71,3.23,D,0.0
-7.25749,111.92019,338.22,0.36,0.57,2025-08-05,525,N20,VIIRS,n,2,294.71,4.56,D,0.0
-5.5616,119.43266,333.9,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,302.36,4.29,D,0.0
-7.75235,114.25066,333.2,0.5,0.49,2025-08-05,525,N20,VIIRS,n,2,296.6,3.46,D,0.0
